comandos --------------------------      ação
    ls                                  lista arquivos
    mkdir                               cria um diretorio
    cd 'diretorio'                      muda para um diretorio
    cd ..                               muda para diretorio anterior (pai)
    pwd                                 mostra caminho do diretorio atual
    rm                                  remove arquivo
    rmdir                               remove diretorio
    cat 'arquivo'                       exibe um arquivo
    tail 'arquivo'                      exibe as ultimas linhas de um arquivo
    grep 'palavra-chave' arquivo        localiza palavras em um arquivo
    
